,degree,theta,mse_train,mse_test
0,1,0.02156824 0.94593869 -0.02540281 0.00228677,0.1077819604451949,0.10749733206140327
1,1,0.02156111 0.94574442 -0.02540946 0.00228167,0.10778199790965953,0.10749552626005646
2,1,0.02155398 0.94555022 -0.0254161 0.00227657,0.10778211024135063,0.10749379738116382
3,1,0.02154686 0.94535611 -0.02542274 0.00227148,0.10778229734779989,0.10749214532974669
4,1,0.02153974 0.94516208 -0.02542937 0.00226639,0.10778255913665374,0.1074905700109442
5,2,-0.13875498 0.94444862 -0.12418164 -0.04640674 0.27225808 -0.00632186 -0.00430648,0.019772882079562147,0.01814745086093909
6,2,-0.1387314 0.94425513 -0.12414744 -0.0464055 0.2722038 -0.00632446 -0.0043137,0.0197729232492154,0.018147249378215834
7,2,-0.13870783 0.94406173 -0.12411325 -0.04640426 0.27214955 -0.00632706 -0.00432092,0.019773046690270184,0.018147130948633093
8,2,-0.13868427 0.9438684 -0.12407908 -0.04640301 0.27209531 -0.00632966 -0.00432812,0.019773252300964137,0.018147095469001458
9,2,-0.13866071 0.94367515 -0.12404494 -0.04640176 0.2720411 -0.00633226 -0.00433532,0.019773539979661577,0.018147142836260642
10,3,-0.13625477 0.94318117 -0.12486484 0.00134762 -0.34584119 0.26051375 0.14455072 -0.00691625 -0.00088466 0.00207515,0.0007840148363336,0.0007787592704887066
11,3,-0.13629701 0.94188147 -0.12481116 0.00197938 -0.34539313 0.26047677 0.14435994 -0.00696658 -0.0008667 0.00208892,0.0007843048724834889,0.0007801535096829673
12,3,-0.13633902 0.9405862 -0.12475756 0.00260893 -0.34494625 0.26043977 0.14416966 -0.00701656 -0.00084882 0.00210256,0.0007851711882146959,0.0007821230545109462
13,3,-0.13638079 0.93929534 -0.12470406 0.00323626 -0.34450054 0.26040275 0.14397989 -0.00706619 -0.00083102 0.00211606,0.0007866081371922159,0.0007846622102781174
14,3,-0.13642233 0.93800887 -0.12465064 0.00386138 -0.344056 0.2603657 0.14379062 -0.00711548 -0.00081331 0.00212944,0.0007886101295825949,0.000787765339658731
15,4,-0.1644346 0.94409806 -0.12448498 -6.21630381e-05 -5.07563848e-05 -0.35911622 0.35263145 0.15201515 -0.0316611 -0.00554233 -0.00123347 -4.57174862e-05 -0.00010782,1.9255810169863326e-06,1.772868605643957e-06
16,4,-0.16436052 0.94279264 -0.12397511 0.00058298 -0.00023316 -0.35852387 0.35162715 0.151744 -0.03133311 -0.00560673 -0.00108886 -8.29224681e-06 -0.00014912,2.317474166133211e-06,2.1305879269803432e-06
17,4,-0.16412924 0.94149117 -0.12364157 0.00122566 -0.00035147 -0.35792554 0.3505863 0.15147016 -0.03099508 -0.00567445 -0.00113096 3.20998874e-05 -0.00012479,3.478756085655552e-06,3.2707666023813413e-06
18,4,-0.163851 0.94019356 -0.1233908 0.00186626 -0.00043913 -0.35732585 0.34953862 0.15119579 -0.03065535 -0.00574269 -0.00120324 7.29102593e-05 -9.05237497e-05,5.402220381101713e-06,5.193974193694732e-06
19,4,-0.16384251 0.93890199 -0.12280399 0.0025044 -0.00064975 -0.35674439 0.34856934 0.1509297 -0.03033799 -0.00580416 -0.00100203 0.00010825 -0.00015145,8.08404555862735e-06,7.910638765802598e-06
